,year,generation,suicides_rate
0,1985,Boomers,960.8400000000001
1,1985,G.I. Generation,3799.550000000001
2,1985,Generation X,860.8100000000001
3,1985,Silent,1190.6900000000003
4,1986,Boomers,1017.0100000000001
5,1986,G.I. Generation,3617.0100000000025
6,1986,Generation X,823.0600000000002
7,1986,Silent,1122.7599999999998
8,1987,Boomers,1183.7199999999998
9,1987,G.I. Generation,4163.249999999999
10,1987,Generation X,861.0500000000003
11,1987,Silent,1337.4300000000003
12,1988,Boomers,1216.19
13,1988,G.I. Generation,4061.31
14,1988,Generation X,904.3799999999998
15,1988,Silent,1291.2499999999998
16,1989,Boomers,1266.5300000000002
17,1989,G.I. Generation,4346.969999999999
18,1989,Generation X,1010.2500000000006
19,1989,Silent,1412.7900000000002
20,1990,Boomers,1581.93
21,1990,G.I. Generation,5274.169999999998
22,1990,Generation X,1233.82
23,1990,Silent,1788.8299999999992
24,1991,Boomers,3461.170000000001
25,1991,G.I. Generation,3415.4100000000008
26,1991,Generation X,1267.92
27,1991,Millenials,72.73999999999997
28,1991,Silent,2103.82
29,1992,Boomers,3668.3800000000006
30,1992,G.I. Generation,3367.77
31,1992,Generation X,1194.25
32,1992,Millenials,75.76999999999998
33,1992,Silent,2222.710000000001
34,1993,Boomers,3820.3699999999985
35,1993,G.I. Generation,3411.780000000001
36,1993,Generation X,1213.0300000000004
37,1993,Millenials,100.92999999999998
38,1993,Silent,2244.1800000000007
39,1994,Boomers,3890.5300000000007
40,1994,G.I. Generation,3872.0499999999997
41,1994,Generation X,1290.33
42,1994,Millenials,84.99999999999996
43,1994,Silent,2345.8799999999997
44,1995,Boomers,2896.4099999999994
45,1995,G.I. Generation,4709.410000000001
46,1995,Generation X,3912.8799999999965
47,1995,Millenials,94.10999999999999
48,1995,Silent,3047.450000000001
49,1996,Boomers,2831.150000000002
50,1996,G.I. Generation,4326.520000000002
51,1996,Generation X,3846.2699999999995
52,1996,Millenials,113.25000000000004
53,1996,Silent,3025.020000000001
54,1997,Boomers,2718.519999999999
55,1997,G.I. Generation,4257.63
56,1997,Generation X,3846.6499999999987
57,1997,Millenials,98.66000000000003
58,1997,Silent,2896.369999999998
59,1998,Boomers,2824.6500000000005
60,1998,G.I. Generation,4336.900000000001
61,1998,Generation X,3856.3699999999994
62,1998,Millenials,115.29
63,1998,Silent,3017.5099999999993
64,1999,Boomers,2890.01
65,1999,G.I. Generation,4287.24
66,1999,Generation X,4134.999999999998
67,1999,Millenials,109.01999999999998
68,1999,Silent,3052.6400000000012
69,2000,Boomers,2828.260000000001
70,2000,G.I. Generation,4461.889999999998
71,2000,Generation X,3990.34
72,2000,Millenials,91.57999999999998
73,2000,Silent,3015.3799999999997
74,2001,Boomers,2892.34
75,2001,Generation X,2325.5699999999997
76,2001,Millenials,1723.9099999999996
77,2001,Silent,7334.389999999998
78,2002,Boomers,2791.3399999999997
79,2002,Generation X,2283.0399999999995
80,2002,Millenials,1750.66
81,2002,Silent,7402.679999999997
82,2003,Boomers,2765.2699999999995
83,2003,Generation X,2144.21
84,2003,Millenials,1657.59
85,2003,Silent,7060.509999999999
86,2004,Boomers,2522.2
87,2004,Generation X,2000.7200000000003
88,2004,Millenials,1563.6900000000007
89,2004,Silent,6495.189999999996
90,2005,Boomers,2410.15
91,2005,Generation X,1970.1400000000006
92,2005,Millenials,1507.079999999999
93,2005,Silent,6277.620000000001
94,2006,Boomers,2390.74
95,2006,Generation X,1864.0500000000009
96,2006,Millenials,1549.4199999999996
97,2006,Silent,6361.800000000001
98,2007,Boomers,2364.54
99,2007,Generation X,2058.83
100,2007,Generation Z,111.15
101,2007,Millenials,1419.76
102,2007,Silent,6455.87
103,2008,Boomers,2452.070000000001
104,2008,Generation X,1914.9399999999994
105,2008,Generation Z,105.19999999999995
106,2008,Millenials,1426.23
107,2008,Silent,6247.400000000001
108,2009,Boomers,2506.1800000000007
109,2009,Generation X,1957.1699999999992
110,2009,Generation Z,106.44000000000001
111,2009,Millenials,1429.1799999999998
112,2009,Silent,6177.069999999995
113,2010,Generation X,4304.520000000001
114,2010,Generation Z,114.19999999999999
115,2010,Millenials,1403.3800000000003
116,2010,Silent,6021.890000000002
117,2011,Boomers,2367.780000000001
118,2011,Generation X,2286.929999999999
119,2011,Generation Z,109.68000000000002
120,2011,Millenials,3274.969999999998
121,2011,Silent,3328.4800000000005
122,2012,Boomers,2325.459999999998
123,2012,Generation X,2214.2300000000005
124,2012,Generation Z,104.11999999999998
125,2012,Millenials,3101.2599999999998
126,2012,Silent,3356.8399999999992
127,2013,Boomers,2297.640000000001
128,2013,Generation X,2119.91
129,2013,Generation Z,105.57000000000004
130,2013,Millenials,3038.27
131,2013,Silent,3102.25
132,2014,Boomers,2148.6299999999987
133,2014,Generation X,1975.3300000000006
134,2014,Generation Z,100.44000000000004
135,2014,Millenials,2870.2500000000014
136,2014,Silent,3212.08
137,2015,Boomers,1792.0199999999995
138,2015,Generation X,1556.8999999999999
139,2015,Generation Z,87.37999999999998
140,2015,Millenials,2217.7399999999993
141,2015,Silent,2599.950000000001
142,2016,Boomers,481.02000000000004
143,2016,Generation X,425.5499999999999
144,2016,Millenials,572.0000000000001
145,2016,Silent,668.8199999999999
