year,female,male
1985,1663.7499999999993,5148.139999999999
1986,1674.049999999999,4905.789999999998
1987,1857.2099999999991,5688.2400000000025
1988,1859.080000000001,5614.05
1989,1927.1700000000008,6109.370000000002
1990,2268.2899999999995,7610.460000000001
1991,2314.7400000000007,8006.319999999999
1992,2437.37,8091.510000000002
1993,2352.189999999999,8438.1
1994,2545.93,8937.860000000008
1995,3004.599999999998,11655.659999999998
1996,2917.2400000000016,11224.97
1997,2774.1899999999987,11043.640000000005
1998,2881.7499999999964,11268.970000000005
1999,2922.15,11551.759999999997
2000,2984.030000000002,11403.419999999996
2001,2899.7400000000025,11376.470000000003
2002,2892.7499999999973,11334.970000000003
2003,2736.03,10891.549999999996
2004,2547.2800000000016,10034.52
2005,2523.830000000001,9641.16000000002
2006,2432.22,9733.79
2007,2576.909999999999,9833.240000000005
2008,2539.5,9606.339999999995
2009,2418.0799999999995,9757.960000000006
2010,2326.430000000001,9517.560000000007
2011,2241.6699999999987,9126.17000000001
2012,2197.5099999999993,8904.399999999987
2013,2095.780000000003,8567.859999999999
2014,2086.72,8220.010000000006
2015,1731.0900000000004,6522.900000000002
2016,385.48999999999995,1761.8999999999999
